"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2000,8936,5178,1000,1100,1075,-1,700,6,0,1903,1,53,93
2001,9033,5282,1050,1150,1125,1,20,1,1,1901,1,54,94
2002,9039,5428,1200,1350,1225,2,75,5,0,1905,1,56,94
2003,8960,5517,1050,1150,1075,1,400,3,2,1911,2,57,93
2004,8906,5459,1050,1150,1075,1,400,1,3,1913,1,56,92
2005,9096,5002,1000,1300,1250,1,3500,1,50,1911,10,51,94
2006,9195,5070,1175,1300,1270,1,100,1,5,1915,1,52,95
2007,9218,5080,1250,1300,1270,1,600,1,20,1920,4,52,96
2008,9164,4913,1225,1300,1270,1,600,1,6,1914,2,50,95
2009,9204,5007,1225,1300,1250,1,600,1,6,1920,2,51,95
2010,9164,4788,1000,1150,1100,2,400,5,0,1918,1,49,95
2011,9155,4788,1250,1300,1270,1,200,1,5,1922,1,49,95
2012,9094,4870,1150,1300,1250,1,600,1,22,1911,5,50,94
2013,9179,4654,1050,1150,1075,1,20,1,1,1942,1,48,95
2014,9231,4603,1150,1300,1250,1,1000,1,62,1964,13,47,96
2015,9310,4334,850,1000,950,1,500,8,-1,2009,1,44,97
2016,9310,4334,1150,1300,1225,1,500,1,19,2009,4,44,97
2017,9054,4800,1150,1200,1175,1,150,1,1,1913,1,49,94
2018,9243,4532,1200,1250,1225,2,4,7,0,1963,0,46,96
2019,9246,4434,800,1000,900,1,50,3,2,1972,2,45,96
2020,9246,4434,1200,1250,1225,1,600,1,12,1972,3,45,96
2021,9213,4411,850,1250,1000,2,600,4,5,1957,1,45,96
2022,9100,4541,1100,1300,1150,2,-1,7,0,1939,0,46,94
2023,9288,4407,1200,1250,1225,1,210,1,3,1996,1,45,96
2024,9289,4376,1200,1300,1250,1,150,1,3,1999,1,45,96
2025,9640,4160,1050,1150,1075,2,10,6,0,2045,1,42,100
2026,8862,4596,1075,1300,1270,1,200,1,6,1916,2,47,92
2027,8893,4574,1075,1300,1270,1,550,1,9,1929,2,47,92
2028,8888,4605,1200,1250,1225,1,20,1,3,1917,1,47,92
2029,8908,4642,1225,1300,1270,1,1500,1,27,1916,6,48,92
2030,8920,4622,1250,1300,1270,1,15,1,2,1917,1,47,92
2031,8861,4626,1000,1150,1075,1,100,1,2,1911,1,47,92
2032,8886,4689,850,1200,1000,1,3000,1,21,1910,5,48,92
2033,8903,4736,1050,1150,1100,1,100,1,3,1908,1,49,92
2034,8826,4584,1200,1300,1250,1,650,1,5,1911,1,47,91
2035,8798,4497,850,950,900,2,400,5,0,1911,1,46,91
2036,8798,4497,1050,1150,1075,2,400,1,1,1911,1,46,91
2037,8798,4497,1150,1225,1175,2,400,5,0,1911,1,46,91
2038,8833,4472,1200,1300,1250,1,1500,1,16,1913,4,46,92
2040,9314,4148,1225,1300,1250,2,20,6,0,2003,1,42,97
2041,9036,4507,1150,1300,1225,2,300,7,0,1942,0,46,94
2042,8742,4366,1200,1300,1270,1,500,1,7,1911,2,45,91
2043,8700,4292,1250,1300,1270,1,2000,1,9,1913,2,44,90
2044,8633,4184,1000,1173,1100,1,2500,1,26,1911,6,43,89
2045,8688,4184,1150,1225,1175,1,400,1,1,1917,1,43,90
2046,8697,4162,1200,1250,1225,1,900,1,1,1920,1,42,90
2047,8649,4161,1050,1150,1100,1,200,1,1,1914,1,42,90
2048,8606,4061,1050,1150,1100,1,60,1,3,1919,1,41,89
2049,8623,4034,1250,1300,1270,1,180,1,8,1920,2,41,89
2050,8646,4053,1100,1300,1200,2,3000,7,0,1923,0,41,90
2051,8604,4006,1000,1150,1075,1,200,1,3,1917,1,41,89
2052,8620,3977,950,1125,1050,2,20,4,1,1920,1,40,89
2053,9002,4064,900,1025,950,1,1800,3,1,1961,1,41,93
2054,9106,3613,1150,1200,1175,1,200,1,3,1998,1,37,94
2055,8992,3550,1150,1250,1200,2,200,4,2,2006,1,36,93
2056,9445,2915,1150,1250,1175,1,100,1,2,2083,1,29,98
2057,9169,5204,1050,1150,1100,1,1000,2,5,1900,1,54,95
2058,9228,5265,1200,1270,1250,1,200,1,7,1900,2,54,96
2059,9382,5539,1050,1150,1100,2,300,4,2,1896,1,57,97
2060,9443,5567,1200,1300,1250,1,300,1,12,1902,3,57,98
2061,9405,5604,1150,1250,1175,1,900,1,10,1890,2,58,98
2062,9374,5203,850,1050,950,2,100,5,0,1937,1,54,97
2063,9959,4904,1100,1300,1200,2,300,4,0,1996,1,50,104
2064,9686,5360,1050,1250,1100,1,200,1,5,1890,1,55,101
2065,8582,3846,1150,1250,1200,1,250,1,1,1916,1,39,89
2066,8582,3805,900,1100,1000,1,320,1,3,1920,1,39,89
2067,8563,3825,1000,1225,1175,1,50,1,1,1917,1,39,89
2068,8516,3854,1000,1250,1175,1,250,1,3,1913,1,39,88
2069,8508,3750,1150,1250,1200,1,250,1,3,1917,1,38,88
2070,8484,3721,1150,1250,1175,1,1000,1,15,1916,3,38,88
2071,8570,3674,1200,1250,1225,2,180,4,3,1928,1,37,89
2073,8688,3401,1150,1300,1225,2,100,7,2,1926,0,34,90
2074,9579,3149,900,1050,950,2,350,4,2,2051,1,32,99
2075,8435,3538,850,1000,950,2,1200,5,0,1917,1,36,87
2076,8435,3538,1200,1250,1225,2,1200,5,0,1917,1,36,87
2077,8391,3494,1200,1250,1225,2,9,6,0,1919,1,35,87
2078,8408,3453,1250,1300,1270,1,600,1,6,1923,2,35,87
2079,8409,3392,1250,1300,1270,1,600,1,6,1928,2,34,87
2080,8339,3350,1075,1200,1125,1,1000,1,10,1916,2,34,86
2081,8365,3428,1050,1150,1100,2,25,4,2,1920,1,35,86
2082,8353,3443,1075,1300,1270,1,400,1,1,1917,1,35,86
2083,8344,3422,1150,1300,1270,1,400,1,8,1917,2,35,86
2084,8334,3396,1050,1200,1125,1,-1,1,-1,1917,1,34,86
2085,8313,3428,850,1300,1175,2,100,5,0,1914,1,35,86
2086,8424,3246,1250,1300,1270,2,200,4,1,1928,1,33,87
2088,8606,3117,1000,1125,1100,1,1000,1,2,1920,1,31,89
2090,8438,3210,600,700,650,2,25,6,0,1932,1,32,87
2091,9641,2488,1075,1200,1125,2,300,4,0,2124,1,25,100
2092,8417,3177,1000,1050,1025,2,300,4,2,1928,1,32,87
2094,8161,3073,1025,1225,1100,1,150,1,2,1919,1,31,84
2095,8175,3076,850,1075,1000,2,200,5,0,1919,1,31,84
2096,8175,3076,1200,1250,1225,1,450,1,8,1920,2,31,84
2097,8146,2989,1000,1125,1025,1,300,1,3,1923,1,30,84
2098,8106,2881,1050,1250,1175,1,900,1,2,1923,1,29,84
2099,8047,2774,1250,1300,1275,2,25,6,0,1923,1,28,83
2100,8198,2823,1000,1300,1100,2,1,6,0,1939,1,28,85
2101,8036,2652,1050,1300,1270,1,630,1,21,1925,5,26,83
2102,8185,2840,1150,1250,1200,1,25,1,1,1937,1,28,85
2103,8111,2661,1225,1300,1270,1,300,1,9,1932,2,26,84
2104,8216,2883,1050,1150,1100,2,400,5,0,1935,1,29,85
2105,8156,2698,1250,1300,1270,1,300,1,7,1942,1,27,84
2106,8310,2854,1075,1150,1125,2,450,4,2,1946,1,28,86
2107,8256,2735,1050,1250,1075,2,200,5,0,1952,1,27,85
2108,9132,1777,600,950,850,2,2750,4,0,2121,1,18,95
2109,8283,1562,600,700,650,2,500,5,0,2067,1,16,86
2110,8650,1452,1075,1150,1125,2,50,4,1,2099,1,14,90
2111,9199,4396,1200,1250,1225,2,300,8,0,1960,1,45,95
2112,8389,1309,1000,1250,1125,2,1000,4,0,2077,1,13,87
2113,7702,1931,1000,1250,1200,1,300,1,11,1925,3,20,79
2114,8394,1658,600,1300,1100,2,200,4,0,2048,1,17,87
2115,7954,2392,1100,1300,1270,1,5700,1,350,1948,70,24,82
2116,8292,2475,1075,1150,1125,2,1,4,0,1945,1,24,86
2118,8280,2459,1150,1250,1175,1,400,1,11,1939,3,24,86
2119,8408,1962,400,1300,1000,2,10,8,0,1999,1,20,87
2120,8322,2472,1000,1150,1100,1,400,4,-1,1957,1,24,86
2121,8322,2472,1150,1300,1200,1,460,1,6,1957,2,24,86
2123,8265,2177,600,1300,1000,2,200,8,0,1960,1,22,85
2124,7597,3000,1150,1250,1225,2,100,4,2,1916,1,30,78
2125,7765,2686,900,1250,1100,2,200,5,0,1920,1,27,80
2126,7750,2330,1075,1250,1225,2,10,5,0,1922,1,24,80
2127,7803,2338,1150,1250,1175,1,50,5,-1,1925,1,24,80
2128,7835,2494,1075,1250,1100,1,400,1,9,1925,2,25,81
2129,7879,1919,400,600,550,1,250,3,1,1957,1,19,81
2130,7792,1553,1050,1150,1100,2,10,8,0,1978,0,16,80
2131,7713,1783,1000,1100,1050,2,10,8,0,1926,0,18,80
2132,7715,1642,400,1300,1000,2,10,8,0,1939,0,16,80
2133,7745,1538,400,1300,1000,2,40,8,0,1939,0,15,80
2134,7750,1509,950,1150,1025,1,200,1,2,1939,1,15,80
2135,7724,1474,1000,1075,1050,2,100,5,0,1932,1,15,80
2136,8679,1250,1250,1300,1270,1,100,5,-1,2012,1,12,90
2137,8662,1366,1200,1250,1225,2,-1,8,0,2030,0,14,90
2138,8664,1204,1250,1300,1270,2,50,5,0,1963,1,12,90
2139,8650,1163,1225,1270,1250,2,50,6,0,1960,1,11,90
2141,8719,1137,1225,1300,1270,2,50,6,0,1969,1,11,90
2142,9216,1143,1050,1250,1150,2,200,6,0,1986,1,11,96
2145,8531,870,600,850,650,2,500,4,0,1954,1,8,88
2146,6349,3570,1100,1300,1270,1,2000,1,43,1952,9,36,65
2152,7689,1289,1150,1300,1225,1,100,4,2,1975,1,13,79
2153,7705,2309,1100,1300,1200,2,750,8,0,1926,0,24,79
2154,7547,1982,1050,1150,1075,2,500,6,0,1926,1,20,78
2156,7603,2294,550,850,700,2,150,5,0,1948,1,23,78
2157,7554,2247,600,900,750,2,280,6,0,1949,1,23,78
2158,7554,2247,1150,1225,1175,2,280,6,0,1949,1,23,78
2159,7536,2139,1050,1150,1100,2,180,4,1,1966,1,22,78
2160,7506,2530,1100,1270,1225,1,300,1,15,1925,3,25,77
2163,7039,2372,850,1000,950,1,90,1,6,1946,2,24,72
2164,7079,2369,600,700,650,2,700,4,0,1948,1,24,73
2166,6928,2291,850,1000,950,1,400,1,5,1954,1,23,71
2168,6547,1180,1000,1100,1025,2,40,6,0,2080,1,12,67
2169,6532,1337,900,1000,950,2,50,6,0,2088,1,13,67
2170,6146,2698,1250,1300,1270,1,1750,1,47,1972,10,27,63
2171,6455,2826,1250,1300,1270,1,300,1,3,1935,1,28,66
2172,6436,2841,1150,1300,1250,1,900,1,2,1935,1,28,66
2173,6445,2812,1075,1300,1150,1,600,1,2,1937,1,28,66
2174,6426,2754,1250,1300,1270,1,500,1,4,1942,1,27,66
2175,6457,2768,1000,1300,1250,1,200,5,0,1937,1,28,66
2176,6387,2710,1250,1300,1270,1,700,1,7,1951,2,27,65
2177,6408,2736,900,1300,1025,1,100,1,5,1945,1,27,66
2178,6324,2735,900,1000,950,2,100,4,0,1948,1,27,65
2179,6346,2803,950,1150,1050,1,900,5,0,1939,1,28,65
2180,6346,2803,1250,1300,1270,1,900,1,21,1939,5,28,65
2181,6393,2791,1250,1300,1270,1,100,1,2,1940,1,28,65
2182,6291,2660,950,1300,1000,2,100,6,0,1961,1,26,64
2183,6365,2238,600,700,650,2,850,5,0,2004,1,23,65
2184,6608,2420,900,1300,1100,2,200,6,0,1969,1,24,68
2186,6521,2020,600,700,650,2,100,5,0,2012,1,21,67
2187,6925,2437,600,700,650,2,90,5,0,1937,1,24,71
2188,6146,1456,1000,1100,1075,2,50,4,1,2082,1,14,63
2189,6295,1346,600,900,650,2,910,5,0,2085,1,13,64
2191,6274,1059,1000,1125,1050,1,100,1,5,2091,1,10,64
2193,5933,1835,600,800,650,2,500,6,0,2085,1,19,60
2194,6789,2610,1000,1150,1050,2,900,5,0,1926,1,26,70
2195,6905,2582,1150,1300,1200,2,500,5,0,1926,1,26,71
2196,6975,2512,1050,1150,1075,1,240,1,16,1926,4,25,72
2198,6032,2799,1025,1150,1050,1,225,1,3,1951,1,28,62
2199,6052,2489,1000,1050,1025,2,100,5,0,1981,1,25,62
2200,5787,2358,1000,1150,1075,1,300,1,16,2006,4,24,59
2201,6135,2883,1075,1300,1250,1,100,1,8,1937,2,29,63
2202,6216,2854,1200,1300,1250,1,300,3,1,1937,1,28,64
2203,5920,2848,1000,1150,1075,2,300,6,0,1943,1,28,60
2204,5861,2849,900,1100,1050,1,1000,1,2,1941,1,28,60
2205,5870,2748,850,1100,1000,1,-1,1,5,1946,1,27,60
2206,5974,2806,1050,1150,1075,2,10,8,0,1952,0,28,61
2207,5818,2855,1050,1125,1100,1,100,5,0,1937,1,28,59
2208,5704,2706,800,1000,900,2,50,6,0,1948,1,27,58
2209,5898,2674,600,700,650,2,100,5,0,1952,1,27,60
2210,5614,2741,600,700,650,2,200,5,0,1966,1,27,57
2211,5614,2933,1000,1300,1225,1,140,1,4,1943,1,29,57
2213,5503,2950,900,1050,950,1,670,1,0,1948,1,29,56
2215,5228,2308,600,700,650,2,100,4,0,2027,1,24,53
2216,4629,3018,1050,1150,1100,1,100,5,0,1960,1,30,47
2218,4468,2972,1000,1150,1050,1,100,1,2,1960,1,30,45
2219,4143,2928,1000,1100,1050,1,150,1,5,1969,1,29,42
2220,4487,2782,900,1050,1000,1,125,4,-1,1990,1,28,45
2221,4055,2884,850,1000,900,2,40,5,0,1973,1,29,41
2222,3866,2835,1050,1150,1100,1,120,1,9,1975,2,28,39
2223,3869,2884,1000,1150,1100,2,50,6,0,1973,1,29,39
2225,4879,2727,850,1000,900,1,320,3,5,1990,5,27,49
2226,4428,2398,1100,1300,1150,2,100,5,0,2063,1,24,45
2227,5461,1790,850,1000,900,2,60,6,0,2109,1,18,55
2228,5416,1794,950,1025,1000,2,100,5,0,2111,1,18,55
2229,5414,1715,1150,1250,1225,2,75,5,0,2112,1,17,55
2230,5317,1671,600,700,650,2,150,5,0,2112,1,17,54
2232,5137,1736,1050,1150,1075,2,90,4,1,2100,1,17,52
2233,4466,1677,1050,1150,1100,2,90,4,1,2105,1,17,45
2234,3039,2076,1000,1150,1050,2,60,4,0,2054,1,21,31
2235,3246,1915,1050,1150,1100,1,100,1,2,2067,1,19,33
2236,2615,1655,1050,1150,1100,2,50,6,0,2047,1,17,26
2238,2594,1654,1150,1200,1175,2,10,5,0,2046,1,17,26
2239,3188,2274,600,700,650,2,90,5,0,2048,1,23,32
2240,2350,1753,1000,1200,1150,1,2000,1,22,2039,5,18,23
2242,2385,1812,950,1150,1050,1,700,3,5,2039,5,18,24
2244,2378,1852,950,1150,1100,2,500,5,0,2038,1,19,23
2245,2515,1960,900,1050,1000,2,100,5,0,2033,1,20,25
2246,2583,1953,1050,1150,1100,2,20,5,0,2038,1,20,26
2247,2740,2015,950,1125,1075,2,200,5,0,2045,1,20,27
2248,2745,1968,1050,1150,1100,2,100,4,2,2042,1,20,27
2249,1518,1213,1050,1150,1100,1,320,1,7,2037,2,12,14
2250,9195,4803,1200,1270,1225,2,150,7,0,1916,0,49,95
2251,9249,4870,1050,1250,1150,2,200,8,0,1914,0,50,96
2252,1664,1626,1050,1150,1075,1,100,4,-1,2021,1,16,16
2253,1692,1531,1000,1175,1075,1,600,2,12,2036,3,15,16
2254,1550,1424,1050,1175,1100,1,600,1,7,2027,2,14,15
2255,1870,1719,1050,1150,1075,2,10,4,1,2016,1,17,18
2256,2120,1829,1050,1300,1250,2,20,4,2,2010,1,18,21
2257,2156,1916,800,1050,900,1,100,1,-1,2006,1,19,21
2258,2333,2009,1050,1100,1075,2,150,6,0,2010,1,20,23
2259,2341,2058,1050,1200,1125,1,500,1,5,2010,1,21,23
2260,2378,2117,1050,1150,1100,1,100,1,5,2006,1,22,23
2263,9295,4915,1200,1300,1250,1,400,1,3,1905,1,50,96
2264,3410,2742,1200,1250,1225,2,80,4,0,1984,1,27,35
2265,2977,2605,900,1000,950,1,50,3,1,1986,1,26,30
2266,2948,2568,600,900,700,2,20,4,2,1989,1,25,30
2267,2916,2488,850,950,900,1,200,3,2,1993,2,25,29
2268,3173,2503,900,1050,950,1,700,3,3,2018,3,25,32
2269,9196,4721,1150,1200,1175,2,100,7,0,1925,0,48,95
2270,4286,2812,900,1075,1050,1,280,3,2,1984,2,28,44
2272,4050,2312,900,1000,950,1,500,3,2,2071,2,24,41
2273,4062,2419,600,700,600,2,800,5,0,2063,1,24,41
2274,9521,5584,600,700,650,2,150,4,0,1923,1,58,99
2275,4124,2623,950,1050,1025,1,500,1,5,2030,1,26,42
2276,3156,3520,1050,1150,1100,1,875,1,10,1989,2,36,32
